Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Bin name,Incoming (not editable),Unavailable (not editable),Committed (not editable),Available (not editable),On hand (current),On hand (new)
nectar-pollinators-510-atomizers-pack-of-5,Nectar Pollinators 510 Atomizers - Pack Of 5,Title,Default Title,,,,,DB0277X0347,,,JM Warehouse,,0,0,0,0,0,
cannadips-150mg-cbd-snus-pouches-natural-mint,Cannadips 150mg CBD Snus Pouches - Natural Mint,Title,Default Title,,,,,BB0009X0089,,,JM Warehouse,,0,0,0,355,355,
voyager-800mg-cbd-cooling-cream-74ml,Voyager 800mg CBD Cooling Cream - 74ml,Title,Default Title,,,,,BD0447X0292,,,JM Warehouse,,0,0,0,8,8,
12-x-chill-d-20mg-cbd-sparkling-drink-250ml-red-cherry,12 x CHILL°D 20mg CBD Sparkling Drink 250ml Red Cherry,Title,Default Title,,,,,AE0050X0367,,,JM Warehouse,,0,0,0,0,0,
inkax-vou-super-speed-data-usb-i-phone-cable-cable-1m-ck13,Inkax VOU Super Speed Data USB I-Phone Cable Cable 1M - CK13,Title,Default Title,,,,,InkaxVOUSuperSpeedDataUSBIPhoneCableCable1MCK13,,,JM Warehouse,,0,0,0,0,0,
cbd-by-british-cannabis-300mg-cbd-oral-capsules-30-caps-boost,CBD by British Cannabis 300mg CBD Oral Capsules 30 Caps - Boost,Title,Default Title,,,,,BL0035X0048,,,JM Warehouse,,0,0,0,8,8,
voyager-900mg-cbd-soft-gels-30-caps,Voyager 900mg CBD Soft Gels - 30 Caps,Title,Default Title,,,,,BD0446X0292,,,JM Warehouse,,0,0,0,2,2,
sony-murata-vtc6-18650-3000mah-battery,Sony Murata VTC6 18650 3000mAh Battery,Title,Default Title,,,,,sonyvtc63000mahbattery,,,JM Warehouse,,0,0,0,0,0,
hempthy-4000mg-cbd-oil-full-spectrum-food-supplement-mixed-berries-30ml,Hempthy 4000mg CBD Oil Full Spectrum Food Supplement Mixed Berries - 30ml,Title,Default Title,,,,,AG0289X0252,,,JM Warehouse,,0,0,0,6,6,
loxa-beauty-1000mg-cbd-lip-balm-100ml,Loxa Beauty 1000mg  CBD  Lip Balm - 100ml,Title,Default Title,,,,,BP0021X0403,,,JM Warehouse,,0,0,0,0,0,
elixinol-300mg-cbd-immune-capsules-30-caps,Elixinol 300mg CBD Immune Capsules - 30 Caps,Title,Default Title,,,,,BF0369X0048,,,JM Warehouse,,0,0,0,9,9,
reakiro-450mg-cbd-full-spectrum-vegan-piperine-capsules-30-caps-buy-1-get-1-free,Reakiro 450mg CBD Full Spectrum Vegan Piperine Capsules - 30 Caps (BUY 1 GET 1 FREE),Title,Default Title,,,,,EC0012Z0137BOGOF,,,JM Warehouse,,0,0,0,0,0,
infused-amphora-6000mg-cbd-premium-zzz-oil-30ml,Infused Amphora 6000mg CBD Premium ZZZ Oil - 30ml,Title,Default Title,,,,,BP0074X0195,,,JM Warehouse,,0,0,0,0,0,
cbd-by-british-cannabis-250mg-cbd-raw-cannabis-oil-drops-10ml,CBD by British Cannabis 250mg CBD Raw Cannabis Oil Drops 10ml,Title,Default Title,,,,,AK0261X0048,,,JM Warehouse,,0,0,0,9,9,
voopoo-pnp-tw15-replacement-mesh-coil-0-15ω,Voopoo PnP-TW15 Replacement Mesh Coil 0.15Ω,Title,Default Title,,,,,PnPTW15MeshCoil015ohms,,,JM Warehouse,,0,0,0,10,10,
